tipo,id,campo,antes,depois,motivo
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,valor_base_categoria1_brl,5.2,5.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,valor_original_categoria1_brl,5.2,5.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_2_brl,10.4,10.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_3_brl,15.6,15.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_4_brl,20.8,20.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_5_brl,26.0,26.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_6_brl,31.2,31.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_7_brl,36.4,36.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_8_brl,41.6,41.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_070_ecovias_capixaba_pedro_canario,eixos_9_brl,46.8,46.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_coordenada,br_antt_070_ecovias_capixaba_pedro_canario,latitude,-18.184708,-18.18470800,Padronização para 8 casas decimais.
normalizacao_coordenada,br_antt_070_ecovias_capixaba_pedro_canario,longitude,-39.922116,-39.92211600,Padronização para 8 casas decimais.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,valor_base_categoria1_brl,6.8,6.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,valor_original_categoria1_brl,6.8,6.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_2_brl,13.6,13.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_3_brl,20.4,20.40,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_4_brl,27.2,27.20,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_5_brl,34.0,34.00,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_6_brl,40.8,40.80,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
normalizacao_valor,br_antt_071_ecovias_capixaba_sao_mateus,eixos_7_brl,47.6,47.60,Arredondamento/normalização monetária para 2 casas decimais; elimina artefatos como 000000000001 no XLSX.
